detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
6402,740,609938,,,小米南瓜粥,0,1,13,,2016/8/2920:49:00,,,,0,,,caipu/602004.jpg,1090
6401,740,610061,,,牛肉鸡蛋肠粉,0,1,20,,2016/8/2920:49:00,,,,0,,,caipu/604005.jpg,1090
6404,740,609973,,,紫薯面包卷,0,1,20,,2016/8/2920:52:00,,,,0,,,caipu/502003.jpg,1090
6405,740,610013,,,番茄炖秋葵,0,1,35,,2016/8/2920:52:00,,,,0,,,caipu/302002.jpg,1090
6406,740,609955,,,红酒炖羊肉,0,1,108,,2016/8/2920:53:00,,,,0,,,caipu/202001.jpg,1090
6407,740,610019,,,白斩鸡,0,1,88,,2016/8/2920:55:00,,,,0,,,caipu/204002.jpg,1090
6408,740,609982,,,五香酱驴肉,0,1,52,,2016/8/2920:57:00,,,,0,,,caipu/205002.jpg,1090
2884,1043,609954,,,凉拌蒜蓉西兰花,0,1,29,,2016/8/2921:05:00,,,,0,,,caipu/304001.jpg,1550
2889,1043,610053,,,蛋挞,0,2,8,,2016/8/2921:06:00,,,,0,,,caipu/501002.jpg,1550
2893,1043,610011,,,白饭/大碗,0,1,10,,2016/8/2921:08:00,,,,0,,,caipu/601005.jpg,1550
2898,1043,609945,,,农夫山泉NFC果汁100%橙汁,0,1,6,,2016/8/2921:09:00,,,,0,,,caipu/404001.jpg,1550
2901,1043,609948,,,露露无糖杏仁露,0,1,7,,2016/8/2921:10:00,,,,0,,,caipu/404004.jpg,1550
5935,697,609934,,,芹菜炒腰花,0,1,18,,2016/8/2921:29:00,,,,0,,,caipu/203005.jpg,1098
5934,697,609967,,,香酥两吃大虾,0,1,89,,2016/8/2921:29:00,,,,0,,,caipu/101002.jpg,1098
5936,697,609953,,,凉拌菠菜,0,1,27,,2016/8/2921:30:00,,,,0,,,caipu/303004.jpg,1098
5937,697,610011,,,白饭/大碗,0,1,10,,2016/8/2921:31:00,,,,0,,,caipu/601005.jpg,1098
5938,697,610020,,,泡椒凤爪,0,1,58,,2016/8/2921:32:00,,,,0,,,caipu/204003.jpg,1098
5939,697,610026,,,玉竹南北杏鸭腿汤,0,1,35,,2016/8/2921:33:00,,,,0,,,caipu/204009.jpg,1098
5940,697,609982,,,五香酱驴肉,0,1,52,,2016/8/2921:35:00,,,,0,,,caipu/205002.jpg,1098
